CRASH_DATE,COUNT
2019-12-31,326
2020-01-01,298
2020-01-02,285
2020-01-03,276
2020-01-04,232
2020-01-05,169
2020-01-06,257
2020-01-07,258
2020-01-08,253
2020-01-09,291
2020-01-10,388
2020-01-11,287
2020-01-12,200
2020-01-13,289
2020-01-14,343
2020-01-15,304
2020-01-16,300
2020-01-17,405
2020-01-18,275
2020-01-19,198
2020-01-20,211
2020-01-21,392
2020-01-22,277
2020-01-23,341
2020-01-24,381
2020-01-25,296
2020-01-26,219
2020-01-27,207
2020-01-28,204
2020-01-29,234
2020-01-30,267
2020-01-31,346
2020-02-01,266
2020-02-02,223
2020-02-03,268
2020-02-04,245
2020-02-05,348
2020-02-06,363
2020-02-07,361
2020-02-08,282
2020-02-09,246
2020-02-10,268
2020-02-11,302
2020-02-12,325
2020-02-13,401
2020-02-14,567
2020-02-15,317
2020-02-16,313
2020-02-17,280
2020-02-18,253
2020-02-19,308
2020-02-20,282
2020-02-21,326
2020-02-22,287
2020-02-23,234
2020-02-24,228
2020-02-25,294
2020-02-26,409
2020-02-27,303
2020-02-28,342
2020-02-29,378
2020-03-01,260
2020-03-02,302
2020-03-03,303
2020-03-04,316
2020-03-05,267
2020-03-06,313
2020-03-07,318
2020-03-08,276
2020-03-09,349
2020-03-10,316
2020-03-11,244
2020-03-12,299
2020-03-13,323
2020-03-14,266
2020-03-15,221
2020-03-16,282
2020-03-17,185
2020-03-18,166
2020-03-19,164
2020-03-20,199
2020-03-21,140
2020-03-22,96
2020-03-23,125
